id_cliente,edad,ingreso_mensual,nivel_educativo,ciudad,fecha_vinculacion,saldo_actual,cuotas_pagadas,cuotas_totales,estado_cuenta,score_externo
CLI-100000,31,3207264,Técnico,Villavo,2016-11-01,858435,3,6,Al día,316
CLI-100001,42,3296637,Tecnólogo,Cucuta,2024-06-10,1229143,20,24,Al día,359
CLI-100002,41,7413435,Universitario,MZL,2018-11-13,0,6,6,Cancelado,813
CLI-100003,40,2524473,Técnico,Medellín,2021-12-25,3324606,4,12,Al día,615
CLI-100004,69,0,Técnico,B/quilla,2024-01-06,2162140,14,6,Al día,738
CLI-100005,62,1929202,Secundaria,Cali,2017-04-12,6857923,6,24,Al día,731
CLI-100006,41,5915472,Posgrado,IBAGUÉ,2015-03-23,0,36,36,Cancelado,607
CLI-100007,38,1408475,Primaria,PEI,2020-03-17,7785710,15,36,Al día,755
CLI-100008,47,1808431,Secundaria,Medellin,2023-06-30,27172577,2,48,Moroso,528
CLI-100009,63,0,Secundaria,Manizales,2023-09-14,1316895,3,6,Al día,840
CLI-100010,38,2382240,Secundaria,BOG,2018-03-09,1500018,4,12,Al día,420
CLI-100011,66,10720300,Posgrado,Ibague,2025-02-23,0,24,24,Cancelado,793
CLI-100012,29,2472957,Universitario,manizales,2015-06-24,8666324,7,48,Moroso,307
CLI-100013,45,0,Tecnólogo,Villavo,2019-11-26,7070463,15,36,Al día,572
CLI-100014,27,5242490,Universitario,San José de Cúcuta,2019-08-30,1730500,3,18,Al día,604
CLI-100015,77,0,Universitario,Villavo,2022-04-10,829977,1,6,Al día,623
CLI-100016,68,6256160,Tecnólogo,bogota,2015-04-29,10688918,10,48,Al día,453
CLI-100017,57,0,Técnico,"Santa Marta, Magdalena",2023-02-09,1128861,18,24,Al día,441
CLI-100018,0,3700534,Tecnólogo,Santiago de Cali,2016-03-04,1262384,11,18,Al día,670
CLI-100019,44,2446802,Tecnólogo,BOG,2022-05-09,8570466,10,36,Al día,784
